datetime,value,validation_block,predict
2018-02-16 23:20:00,0.002683333,0,0.0008540772689632221
2018-02-16 23:21:00,0.002816667,0,0.0011046050471552468
2018-02-16 23:22:00,0.00285,0,0.001348356891784528
2018-02-16 23:23:00,0.002883333,0,0.0015974746862569
2018-02-16 23:24:00,0.001033333,0,0.0018472732108106656
2018-02-16 23:25:00,0.0023666670000000002,0,0.0020888802275695504
2018-02-16 23:26:00,0.0028,0,0.0023031583059098444
2018-02-16 23:27:00,0.002683333,0,0.0024996698291164946
2018-02-16 23:28:00,0.0027,0,0.0026778417551234154
2018-02-16 23:29:00,0.0027166670000000003,0,0.002843824431855605
2018-02-16 23:30:00,0.00275,1,0.0003438539209003346
2018-02-16 23:31:00,0.0029,1,0.0006202722165134489
2018-02-16 23:32:00,0.00275,1,0.0008893481226869215
2018-02-16 23:33:00,0.00275,1,0.001163964091911485
2018-02-16 23:34:00,0.00285,1,0.0014391482787132891
2018-02-16 23:35:00,0.0027,1,0.0017054449055858942
2018-02-16 23:36:00,0.002783333,1,0.0019425025803985541
2018-02-16 23:37:00,0.00285,1,0.0021605364495783036
2018-02-16 23:38:00,0.0027,1,0.0023589520600378463
2018-02-16 23:39:00,0.002916667,1,0.002544297842326332
