datetime,value,validation_block,predict
2019-09-27 00:00:00,9137.0,0,9346.0
2019-10-04 00:00:00,9460.0,0,9346.0
2019-10-11 00:00:00,9354.0,0,9346.0
2019-10-18 00:00:00,9590.0,0,9346.0
2019-10-25 00:00:00,9784.0,0,9346.0
2019-11-01 00:00:00,9145.0,0,9346.0
2019-11-08 00:00:00,9321.0,0,9346.0
2019-11-15 00:00:00,9192.0,0,9346.0
2019-11-22 00:00:00,9204.0,0,9346.0
2019-11-29 00:00:00,9032.0,0,9346.0
2019-12-06 00:00:00,8882.0,1,9032.0
2019-12-13 00:00:00,9411.0,1,9032.0
2019-12-20 00:00:00,9303.0,1,9032.0
2019-12-27 00:00:00,8961.0,1,9032.0
2020-01-03 00:00:00,8133.0,1,9032.0
2020-01-10 00:00:00,8558.0,1,9032.0
2020-01-17 00:00:00,8662.0,1,9032.0
2020-01-24 00:00:00,8793.0,1,9032.0
2020-01-31 00:00:00,8933.0,1,9032.0
2020-02-07 00:00:00,8722.0,1,9032.0
