datetime,value,validation_block,predict
2002-12-25 05:00:00,-0.0194237001138191,0,-0.016735157027539964
2002-12-25 06:00:00,-0.0795249707894782,0,-0.07622167364904117
2002-12-25 07:00:00,-0.0608534581857187,0,-0.05787507535764599
2002-12-25 08:00:00,-0.0129592187600593,0,-0.0069258239861324095
2002-12-25 09:00:00,-0.0129592187600593,0,-0.014818584137710334
2002-12-25 10:00:00,0.0832181207937736,0,0.10441581458934733
2002-12-25 11:00:00,0.11006870196290199,0,0.13243374598394358
2002-12-25 12:00:00,0.1000259153646965,0,0.12602359855086082
2002-12-25 13:00:00,0.1000259153646965,0,0.11570267702869776
2002-12-25 14:00:00,-0.0034951932626228,0,0.025003260058388835
2002-12-25 15:00:00,-0.0859421260552864,0,-0.07314352986902531
2002-12-25 16:00:00,-0.1575344569879035,0,-0.14513837023471352
2002-12-25 17:00:00,-0.1575344569879035,0,-0.1491465803084624
2002-12-25 18:00:00,-0.2008688218789558,0,-0.2032932411444887
2002-12-25 19:00:00,-0.164362049837635,0,-0.1603783830421413
2002-12-25 20:00:00,-0.0905065305428962,0,-0.08357127153709175
2002-12-25 21:00:00,-0.0905065305428962,0,-0.08490569160622696
2002-12-25 22:00:00,0.0665272705359001,0,0.06647416387103941
2002-12-25 23:00:00,0.1305022470755119,0,0.1430552609260371
2002-12-26 00:00:00,0.1535041563314934,0,0.1649659369320169
2002-12-26 01:00:00,0.1535041563314934,1,0.13313696330325475
2002-12-26 02:00:00,0.0798321001333732,1,0.06156391416836652
2002-12-26 03:00:00,-0.0110395915704231,1,-0.036031571204035696
2002-12-26 04:00:00,-0.1092790134149055,1,-0.1447660622811275
2002-12-26 05:00:00,-0.1092790134149055,1,-0.16154993650467264
2002-12-26 06:00:00,-0.2304252155023078,1,-0.28617818247725574
2002-12-26 07:00:00,-0.2459220655160405,1,-0.30956142239841816
2002-12-26 08:00:00,-0.2188956506448249,1,-0.29432932689791597
2002-12-26 09:00:00,-0.2188956506448249,1,-0.30813921543729317
2002-12-26 10:00:00,-0.107829428453968,1,-0.1998920782179096
2002-12-26 11:00:00,-0.0457166202264289,1,-0.1496081692004085
2002-12-26 12:00:00,-0.0096610553460578,1,-0.1196850517215979
2002-12-26 13:00:00,-0.0096610553460578,1,-0.1280644331252224
2002-12-26 14:00:00,-0.0360378987985114,1,-0.1592253707063454
2002-12-26 15:00:00,-0.0952591664987068,1,-0.22685965152943202
2002-12-26 16:00:00,-0.1653651960092048,1,-0.29950025220709964
2002-12-26 17:00:00,-0.1653651960092048,1,-0.2960577797149215
2002-12-26 18:00:00,-0.2471816308694343,1,-0.3862307912409072
2002-12-26 19:00:00,-0.2412391669946174,1,-0.3765511448369279
2002-12-26 20:00:00,-0.1906723745065195,1,-0.327806812766383
